"apt_nm","sgg_cd","umd_cd","land_cd","bonbun","bubun","road_nm","road_nm_sgg_cd","road_nm_cd","road_nm_seq","road_nmb_cd","road_nm_bonbun","road_nm_bubun","umd_nm","jibun","exclu_use_ar","deal_year","deal_month","deal_day","deal_amount","floor","build_year","apt_seq","cdeal_type","cdeal_day","dealing_gbn","estate_agent_sgg_nm","rgst_date","apt_dong","sler_gbn","buyer_gbn","land_leasehold_gbn"
관저더샵2,"30170","11600","1","1982","0000",구봉산북로,"30170","3166058","00","0","00052","00000",,"1982","84.8064","2025","1","16","50,500","15","2019","30170-1159", , ,중개거래,대전 서구, , ,,개인,N
상록수,"30170","12800","1","0281","0000",만년남로,"30170","3166024","01","0","00008","00000",,"281","59.88","2025","1","2","20,400","1","1995","30170-121", , ,중개거래,대전 서구, , ,,개인,N
스카이빌,"30170","11200","1","1094","0000",갈마역로,"30170","3166005","02","0","00016","00000",,"1094","30.075","2025","1","15","5,750","9","2003","30170-89", , ,중개거래,대전 서구, , ,,개인,N
구봉마을주공7,"30170","11600","1","1144","0000",관저로,"30170","3166008","01","0","00048","00000",,"1144","49.63","2025","1","6","15,500","22","1999","30170-112", , ,중개거래,대전 서구, , ,,개인,N
도안18단지린풀하우스,"30170","11500","1","1564","0000",도안동로,"30170","3166054","01","0","00077","00000",,"1564","70.143","2025","1","10","51,000","12","2014","30170-1101", , ,중개거래,대전 서구, , ,,개인,N
관저더샵2,"30170","11600","1","1982","0000",구봉산북로,"30170","3166058","00","0","00052","00000",,"1982","74.9794","2025","1","15","45,700","13","2019","30170-1159", , ,중개거래,대전 서구, , ,,개인,N
구봉마을주공7,"30170","11600","1","1144","0000",관저로,"30170","3166008","01","0","00048","00000",,"1144","49.63","2025","1","13","13,500","3","1999","30170-112", , ,중개거래,대전 서구, , ,,개인,N
경성큰마을,"30170","11100","1","1418","0000",대덕대로,"30170","2010001","03","0","00150","00000",,"1418","59.9","2025","1","4","28,000","14","1995","30170-61", , ,중개거래,대전 서구, , ,,개인,N
중흥S-클래스프라디움,"30170","11600","1","1566","0000",관저남로12번길,"30170","4709119","01","0","00012","00000",,"1566","47.5144","2025","1","10","23,600","3","2016","30170-1117", , ,중개거래,대전 서구, , ,,개인,N
느리울마을11단지,"30170","11600","1","1422","0000",관저동로90번길,"30170","4298100","01","0","00047","00000",,"1422","65.67","2025","1","14","29,450","17","2004","30170-167", , ,중개거래,대전 서구, , ,,개인,N
탑스빌,"30170","10600","1","0675","0000",문정로2번길,"30170","4298365","01","0","00113","00000",,"675","59.435","2025","1","13","19,000","9","2003","30170-135", , ,중개거래,대전 서구, , ,,개인,N
